
root@Zybo-Z7-20:~# stty -echo
root@Zybo-Z7-20:~# __S06_FETCH_STTY__=0
root@Zybo-Z7-20:~# __CSV_BEGIN__
call_id,layer,role,tensor,backend,in_features,out_features,chunks,hw_jobs,fallback,input_saturations
104,14,up_proj,blk.14.ffn_up.weight,fpga,576,1536,1,96,0,0
105,14,down_proj,blk.14.ffn_down.weight,fpga,1536,576,3,108,0,68
106,15,q_proj,blk.15.attn_q.weight,fpga,576,576,1,36,0,0
107,15,k_proj,blk.15.attn_k.weight,fpga,576,192,1,12,0,0
108,15,v_proj,blk.15.attn_v.weight,fpga,576,192,1,12,0,0
109,15,o_proj,blk.15.attn_output.weight,fpga,576,576,1,36,0,6
110,15,gate_proj,blk.15.ffn_gate.weight,fpga,576,1536,1,96,0,0
111,15,up_proj,blk.15.ffn_up.weight,fpga,576,1536,1,96,0,0
112,15,down_proj,blk.15.ffn_down.weight,fpga,1536,576,3,108,0,52
113,16,q_proj,blk.16.attn_q.weight,fpga,576,576,1,36,0,0
114,16,k_proj,blk.16.attn_k.weight,fpga,576,192,1,12,0,0
115,16,v_proj,blk.16.attn_v.weight,fpga,576,192,1,12,0,0
116,16,o_proj,blk.16.attn_output.weight,fpga,576,576,1,36,0,27
117,16,gate_proj,blk.16.ffn_gate.weight,fpga,576,1536,1,96,0,0
118,16,up_proj,blk.16.ffn_up.weight,fpga,576,1536,1,96,0,0
119,16,down_proj,blk.16.ffn_down.weight,fpga,1536,576,3,108,0,67
120,17,q_proj,blk.17.attn_q.weight,fpga,576,576,1,36,0,0
121,17,k_proj,blk.17.attn_k.weight,fpga,576,192,1,12,0,0
122,17,v_proj,blk.17.attn_v.weight,fpga,576,192,1,12,0,0
123,17,o_proj,blk.17.attn_output.weight,fpga,576,576,1,36,0,12
124,17,gate_proj,blk.17.ffn_gate.weight,fpga,576,1536,1,96,0,0
125,17,up_proj,blk.17.ffn_up.weight,fpga,576,1536,1,96,0,0
126,17,down_proj,blk.17.ffn_down.weight,fpga,1536,576,3,108,0,64
127,18,q_proj,blk.18.attn_q.weight,fpga,576,576,1,36,0,0
128,18,k_proj,blk.18.attn_k.weight,fpga,576,192,1,12,0,0
129,18,v_proj,blk.18.attn_v.weight,fpga,576,192,1,12,0,0
130,18,o_proj,blk.18.attn_output.weight,fpga,576,576,1,36,0,9
131,18,gate_proj,blk.18.ffn_gate.weight,fpga,576,1536,1,96,0,0
132,18,up_proj,blk.18.ffn_up.weight,fpga,576,1536,1,96,0,0
133,18,down_proj,blk.18.ffn_down.weight,fpga,1536,576,3,108,0,72
134,19,q_proj,blk.19.attn_q.weight,fpga,576,576,1,36,0,0
135,19,k_proj,blk.19.attn_k.weight,fpga,576,192,1,12,0,0
136,19,v_proj,blk.19.attn_v.weight,fpga,576,192,1,12,0,0
137,19,o_proj,blk.19.attn_output.weight,fpga,576,576,1,36,0,15
138,19,gate_proj,blk.19.ffn_gate.weight,fpga,576,1536,1,96,0,0
139,19,up_proj,blk.19.ffn_up.weight,fpga,576,1536,1,96,0,0
140,19,down_proj,blk.19.ffn_down.weight,fpga,1536,576,3,108,0,67
141,20,q_proj,blk.20.attn_q.weight,fpga,576,576,1,36,0,0
142,20,k_proj,blk.20.attn_k.weight,fpga,576,192,1,12,0,0
143,20,v_proj,blk.20.attn_v.weight,fpga,576,192,1,12,0,0
144,20,o_proj,blk.20.attn_output.weight,fpga,576,576,1,36,0,12
145,20,gate_proj,blk.20.ffn_gate.weight,fpga,576,1536,1,96,0,0
146,20,up_proj,blk.20.ffn_up.weight,fpga,576,1536,1,96,0,0
147,20,down_proj,blk.20.ffn_down.weight,fpga,1536,576,3,108,0,60
148,21,q_proj,blk.21.attn_q.weight,fpga,576,576,1,36,0,0
149,21,k_proj,blk.21.attn_k.weight,fpga,576,192,1,12,0,0
150,21,v_proj,blk.21.attn_v.weight,fpga,576,192,1,12,0,0
151,21,o_proj,blk.21.attn_output.weight,fpga,576,576,1,36,0,18
152,21,gate_proj,blk.21.ffn_gate.weight,fpga,576,1536,1,96,0,0
153,21,up_proj,blk.21.ffn_up.weight,fpga,576,1536,1,96,0,0
154,21,down_proj,blk.21.ffn_down.weight,fpga,1536,576,3,108,0,53
155,22,q_proj,blk.22.attn_q.weight,fpga,576,576,1,36,0,0
156,22,k_proj,blk.22.attn_k.weight,fpga,576,192,1,12,0,0
157,22,v_proj,blk.22.attn_v.weight,fpga,576,192,1,12,0,0
158,22,o_proj,blk.22.attn_output.weight,fpga,576,576,1,36,0,9
159,22,gate_proj,blk.22.ffn_gate.weight,fpga,576,1536,1,96,0,0
160,22,up_proj,blk.22.ffn_up.weight,fpga,576,1536,1,96,0,0
161,22,down_proj,blk.22.ffn_down.weight,fpga,1536,576,3,108,0,57
162,23,q_proj,blk.23.attn_q.weight,fpga,576,576,1,36,0,0
163,23,k_proj,blk.23.attn_k.weight,fpga,576,192,1,12,0,0
164,23,v_proj,blk.23.attn_v.weight,fpga,576,192,1,12,0,0
165,23,o_proj,blk.23.attn_output.weight,fpga,576,576,1,36,0,6
166,23,gate_proj,blk.23.ffn_gate.weight,fpga,576,1536,1,96,0,0
167,23,up_proj,blk.23.ffn_up.weight,fpga,576,1536,1,96,0,0
168,23,down_proj,blk.23.ffn_down.weight,fpga,1536,576,3,108,0,58
169,24,q_proj,blk.24.attn_q.weight,fpga,576,576,1,36,0,0
170,24,k_proj,blk.24.attn_k.weight,fpga,576,192,1,12,0,0
171,24,v_proj,blk.24.attn_v.weight,fpga,576,192,1,12,0,0
172,24,o_proj,blk.24.attn_output.weight,fpga,576,576,1,36,0,3
173,24,gate_proj,blk.24.ffn_gate.weight,fpga,576,1536,1,96,0,0
174,24,up_proj,blk.24.ffn_up.weight,fpga,576,1536,1,96,0,0
175,24,down_proj,blk.24.ffn_down.weight,fpga,1536,576,3,108,0,56
176,25,q_proj,blk.25.attn_q.weight,fpga,576,576,1,36,0,0
177,25,k_proj,blk.25.attn_k.weight,fpga,576,192,1,12,0,0
178,25,v_proj,blk.25.attn_v.weight,fpga,576,192,1,12,0,0
179,25,o_proj,blk.25.attn_output.weight,fpga,576,576,1,36,0,6
180,25,gate_proj,blk.25.ffn_gate.weight,fpga,576,1536,1,96,0,0
181,25,up_proj,blk.25.ffn_up.weight,fpga,576,1536,1,96,0,0
182,25,down_proj,blk.25.ffn_down.weight,fpga,1536,576,3,108,0,53
183,26,q_proj,blk.26.attn_q.weight,fpga,576,576,1,36,0,0
184,26,k_proj,blk.26.attn_k.weight,fpga,576,192,1,12,0,0
185,26,v_proj,blk.26.attn_v.weight,fpga,576,192,1,12,0,0
186,26,o_proj,blk.26.attn_output.weight,fpga,576,576,1,36,0,3
187,26,gate_proj,blk.26.ffn_gate.weight,fpga,576,1536,1,96,0,0
188,26,up_proj,blk.26.ffn_up.weight,fpga,576,1536,1,96,0,0
189,26,down_proj,blk.26.ffn_down.weight,fpga,1536,576,3,108,0,55
190,27,q_proj,blk.27.attn_q.weight,fpga,576,576,1,36,0,0
191,27,k_proj,blk.27.attn_k.weight,fpga,576,192,1,12,0,0
192,27,v_proj,blk.27.attn_v.weight,fpga,576,192,1,12,0,0
193,27,o_proj,blk.27.attn_output.weight,fpga,576,576,1,36,0,6
194,27,gate_proj,blk.27.ffn_gate.weight,fpga,576,1536,1,96,0,0
195,27,up_proj,blk.27.ffn_up.weight,fpga,576,1536,1,96,0,0
196,27,down_proj,blk.27.ffn_down.weight,fpga,1536,576,3,108,0,58
197,28,q_proj,blk.28.attn_q.weight,fpga,576,576,1,36,0,0
198,28,k_proj,blk.28.attn_k.weight,fpga,576,192,1,12,0,0
199,28,v_proj,blk.28.attn_v.weight,fpga,576,192,1,12,0,0
200,28,o_proj,blk.28.attn_output.weight,fpga,576,576,1,36,0,9
201,28,gate_proj,blk.28.ffn_gate.weight,fpga,576,1536,1,96,0,0
202,28,up_proj,blk.28.ffn_up.weight,fpga,576,1536,1,96,0,0
203,28,down_proj,blk.28.ffn_down.weight,fpga,1536,576,3,108,0,45
204,29,q_proj,blk.29.attn_q.weight,fpga,576,576,1,36,0,0
205,29,k_proj,blk.29.attn_k.weight,fpga,576,192,1,12,0,0
206,29,v_proj,blk.29.attn_v.weight,fpga,576,192,1,12,0,0
207,29,o_proj,blk.29.attn_output.weight,fpga,576,576,1,36,0,12
208,29,gate_proj,blk.29.ffn_gate.weight,fpga,576,1536,1,96,0,0
209,29,up_proj,blk.29.ffn_up.weight,fpga,576,1536,1,96,0,0
210,29,down_proj,blk.29.ffn_down.weight,fpga,1536,576,3,108,0,45
211,-1,lm_head_tied_token_embd,token_embd.weight,fpga,576,49152,1,3072,0,0
__CSV_END__
root@Zybo-Z7-20:~# __S06_FETCH_DONE__=0
root@Zybo-Z7-20:~# root@Zybo-Z7-20:~# echo __S06_FETCH_ECHO__=$?
__S06_FETCH_ECHO__=0
root@Zybo-Z7-20:~# 
