layer,role,tensor_name,dtype,in_features,out_features,chunk_policy,gguf_offset,gguf_nbytes,dispatch
13,up_proj,blk.13.ffn_up.weight,Q8_0,576,1536,none,52572736,940032,gemv_backend_run
13,v_proj,blk.13.attn_v.weight,Q8_0,576,192,none,54337600,117504,gemv_backend_run
14,down_proj,blk.14.ffn_down.weight,Q8_0,1536,576,512+512+512,54457408,940032,gemv_backend_run
14,gate_proj,blk.14.ffn_gate.weight,Q8_0,576,1536,none,55397440,940032,gemv_backend_run
14,k_proj,blk.14.attn_k.weight,Q8_0,576,192,none,57279808,117504,gemv_backend_run
14,o_proj,blk.14.attn_output.weight,Q8_0,576,576,none,57397312,352512,gemv_backend_run
14,q_proj,blk.14.attn_q.weight,Q8_0,576,576,none,57749824,352512,gemv_backend_run
14,up_proj,blk.14.ffn_up.weight,Q8_0,576,1536,none,56337472,940032,gemv_backend_run
14,v_proj,blk.14.attn_v.weight,Q8_0,576,192,none,58102336,117504,gemv_backend_run
15,down_proj,blk.15.ffn_down.weight,Q8_0,1536,576,512+512+512,58222144,940032,gemv_backend_run
15,gate_proj,blk.15.ffn_gate.weight,Q8_0,576,1536,none,59162176,940032,gemv_backend_run
15,k_proj,blk.15.attn_k.weight,Q8_0,576,192,none,61044544,117504,gemv_backend_run
15,o_proj,blk.15.attn_output.weight,Q8_0,576,576,none,61162048,352512,gemv_backend_run
15,q_proj,blk.15.attn_q.weight,Q8_0,576,576,none,61514560,352512,gemv_backend_run
15,up_proj,blk.15.ffn_up.weight,Q8_0,576,1536,none,60102208,940032,gemv_backend_run
15,v_proj,blk.15.attn_v.weight,Q8_0,576,192,none,61867072,117504,gemv_backend_run
16,down_proj,blk.16.ffn_down.weight,Q8_0,1536,576,512+512+512,61986880,940032,gemv_backend_run
16,gate_proj,blk.16.ffn_gate.weight,Q8_0,576,1536,none,62926912,940032,gemv_backend_run
16,k_proj,blk.16.attn_k.weight,Q8_0,576,192,none,64809280,117504,gemv_backend_run
16,o_proj,blk.16.attn_output.weight,Q8_0,576,576,none,64926784,352512,gemv_backend_run
16,q_proj,blk.16.attn_q.weight,Q8_0,576,576,none,65279296,352512,gemv_backend_run
16,up_proj,blk.16.ffn_up.weight,Q8_0,576,1536,none,63866944,940032,gemv_backend_run
16,v_proj,blk.16.attn_v.weight,Q8_0,576,192,none,65631808,117504,gemv_backend_run
17,down_proj,blk.17.ffn_down.weight,Q8_0,1536,576,512+512+512,65751616,940032,gemv_backend_run
17,gate_proj,blk.17.ffn_gate.weight,Q8_0,576,1536,none,66691648,940032,gemv_backend_run
17,k_proj,blk.17.attn_k.weight,Q8_0,576,192,none,68574016,117504,gemv_backend_run
17,o_proj,blk.17.attn_output.weight,Q8_0,576,576,none,68691520,352512,gemv_backend_run
17,q_proj,blk.17.attn_q.weight,Q8_0,576,576,none,69044032,352512,gemv_backend_run
17,up_proj,blk.17.ffn_up.weight,Q8_0,576,1536,none,67631680,940032,gemv_backend_run
17,v_proj,blk.17.attn_v.weight,Q8_0,576,192,none,69396544,117504,gemv_backend_run
18,down_proj,blk.18.ffn_down.weight,Q8_0,1536,576,512+512+512,69516352,940032,gemv_backend_run
18,gate_proj,blk.18.ffn_gate.weight,Q8_0,576,1536,none,70456384,940032,gemv_backend_run
18,k_proj,blk.18.attn_k.weight,Q8_0,576,192,none,72338752,117504,gemv_backend_run
18,o_proj,blk.18.attn_output.weight,Q8_0,576,576,none,72456256,352512,gemv_backend_run
18,q_proj,blk.18.attn_q.weight,Q8_0,576,576,none,72808768,352512,gemv_backend_run
18,up_proj,blk.18.ffn_up.weight,Q8_0,576,1536,none,71396416,940032,gemv_backend_run
18,v_proj,blk.18.attn_v.weight,Q8_0,576,192,none,73161280,117504,gemv_backend_run
19,down_proj,blk.19.ffn_down.weight,Q8_0,1536,576,512+512+512,73281088,940032,gemv_backend_run
19,gate_proj,blk.19.ffn_gate.weight,Q8_0,576,1536,none,74221120,940032,gemv_backend_run
19,k_proj,blk.19.attn_k.weight,Q8_0,576,192,none,76103488,117504,gemv_backend_run
19,o_proj,blk.19.attn_output.weight,Q8_0,576,576,none,76220992,352512,gemv_backend_run
19,q_proj,blk.19.attn_q.weight,Q8_0,576,576,none,76573504,352512,gemv_backend_run
19,up_proj,blk.19.ffn_up.weight,Q8_0,576,1536,none,75161152,940032,gemv_backend_run
19,v_proj,blk.19.attn_v.weight,Q8_0,576,192,none,76926016,117504,gemv_backend_run
20,down_proj,blk.20.ffn_down.weight,Q8_0,1536,576,512+512+512,80810560,940032,gemv_backend_run
20,gate_proj,blk.20.ffn_gate.weight,Q8_0,576,1536,none,81750592,940032,gemv_backend_run
20,k_proj,blk.20.attn_k.weight,Q8_0,576,192,none,83632960,117504,gemv_backend_run
20,o_proj,blk.20.attn_output.weight,Q8_0,576,576,none,83750464,352512,gemv_backend_run
20,q_proj,blk.20.attn_q.weight,Q8_0,576,576,none,84102976,352512,gemv_backend_run
20,up_proj,blk.20.ffn_up.weight,Q8_0,576,1536,none,82690624,940032,gemv_backend_run
20,v_proj,blk.20.attn_v.weight,Q8_0,576,192,none,84455488,117504,gemv_backend_run
21,down_proj,blk.21.ffn_down.weight,Q8_0,1536,576,512+512+512,84575296,940032,gemv_backend_run
21,gate_proj,blk.21.ffn_gate.weight,Q8_0,576,1536,none,85515328,940032,gemv_backend_run
21,k_proj,blk.21.attn_k.weight,Q8_0,576,192,none,87397696,117504,gemv_backend_run
21,o_proj,blk.21.attn_output.weight,Q8_0,576,576,none,87515200,352512,gemv_backend_run
21,q_proj,blk.21.attn_q.weight,Q8_0,576,576,none,87867712,352512,gemv_backend_run
21,up_proj,blk.21.ffn_up.weight,Q8_0,576,1536,none,86455360,940032,gemv_backend_run
21,v_proj,blk.21.attn_v.weight,Q8_0,576,192,none,88220224,117504,gemv_backend_run
22,down_proj,blk.22.ffn_down.weight,Q8_0,1536,576,512+512+512,88340032,940032,gemv_backend_run
22,gate_proj,blk.22.ffn_gate.weight,Q8_0,576,1536,none,89280064,940032,gemv_backend_run
22,k_proj,blk.22.attn_k.weight,Q8_0,576,192,none,91162432,117504,gemv_backend_run
22,o_proj,blk.22.attn_output.weight,Q8_0,576,576,none,91279936,352512,gemv_backend_run
22,q_proj,blk.22.attn_q.weight,Q8_0,576,576,none,91632448,352512,gemv_backend_run
22,up_proj,blk.22.ffn_up.weight,Q8_0,576,1536,none,90220096,940032,gemv_backend_run
22,v_proj,blk.22.attn_v.weight,Q8_0,576,192,none,91984960,117504,gemv_backend_run
23,down_proj,blk.23.ffn_down.weight,Q8_0,1536,576,512+512+512,92104768,940032,gemv_backend_run
23,gate_proj,blk.23.ffn_gate.weight,Q8_0,576,1536,none,93044800,940032,gemv_backend_run
23,k_proj,blk.23.attn_k.weight,Q8_0,576,192,none,94927168,117504,gemv_backend_run
23,o_proj,blk.23.attn_output.weight,Q8_0,576,576,none,95044672,352512,gemv_backend_run
23,q_proj,blk.23.attn_q.weight,Q8_0,576,576,none,95397184,352512,gemv_backend_run
23,up_proj,blk.23.ffn_up.weight,Q8_0,576,1536,none,93984832,940032,gemv_backend_run
23,v_proj,blk.23.attn_v.weight,Q8_0,576,192,none,95749696,117504,gemv_backend_run
24,down_proj,blk.24.ffn_down.weight,Q8_0,1536,576,512+512+512,95869504,940032,gemv_backend_run
24,gate_proj,blk.24.ffn_gate.weight,Q8_0,576,1536,none,96809536,940032,gemv_backend_run
24,k_proj,blk.24.attn_k.weight,Q8_0,576,192,none,98691904,117504,gemv_backend_run
24,o_proj,blk.24.attn_output.weight,Q8_0,576,576,none,98809408,352512,gemv_backend_run
24,q_proj,blk.24.attn_q.weight,Q8_0,576,576,none,99161920,352512,gemv_backend_run
24,up_proj,blk.24.ffn_up.weight,Q8_0,576,1536,none,97749568,940032,gemv_backend_run
24,v_proj,blk.24.attn_v.weight,Q8_0,576,192,none,99514432,117504,gemv_backend_run
25,down_proj,blk.25.ffn_down.weight,Q8_0,1536,576,512+512+512,99634240,940032,gemv_backend_run
25,gate_proj,blk.25.ffn_gate.weight,Q8_0,576,1536,none,100574272,940032,gemv_backend_run
25,k_proj,blk.25.attn_k.weight,Q8_0,576,192,none,102456640,117504,gemv_backend_run
25,o_proj,blk.25.attn_output.weight,Q8_0,576,576,none,102574144,352512,gemv_backend_run
25,q_proj,blk.25.attn_q.weight,Q8_0,576,576,none,102926656,352512,gemv_backend_run
25,up_proj,blk.25.ffn_up.weight,Q8_0,576,1536,none,101514304,940032,gemv_backend_run
25,v_proj,blk.25.attn_v.weight,Q8_0,576,192,none,103279168,117504,gemv_backend_run
26,down_proj,blk.26.ffn_down.weight,Q8_0,1536,576,512+512+512,103398976,940032,gemv_backend_run
26,gate_proj,blk.26.ffn_gate.weight,Q8_0,576,1536,none,104339008,940032,gemv_backend_run
26,k_proj,blk.26.attn_k.weight,Q8_0,576,192,none,106221376,117504,gemv_backend_run
26,o_proj,blk.26.attn_output.weight,Q8_0,576,576,none,106338880,352512,gemv_backend_run
26,q_proj,blk.26.attn_q.weight,Q8_0,576,576,none,106691392,352512,gemv_backend_run
26,up_proj,blk.26.ffn_up.weight,Q8_0,576,1536,none,105279040,940032,gemv_backend_run
26,v_proj,blk.26.attn_v.weight,Q8_0,576,192,none,107043904,117504,gemv_backend_run
27,down_proj,blk.27.ffn_down.weight,Q8_0,1536,576,512+512+512,107163712,940032,gemv_backend_run
27,gate_proj,blk.27.ffn_gate.weight,Q8_0,576,1536,none,108103744,940032,gemv_backend_run
27,k_proj,blk.27.attn_k.weight,Q8_0,576,192,none,109986112,117504,gemv_backend_run
27,o_proj,blk.27.attn_output.weight,Q8_0,576,576,none,110103616,352512,gemv_backend_run
27,q_proj,blk.27.attn_q.weight,Q8_0,576,576,none,110456128,352512,gemv_backend_run
27,up_proj,blk.27.ffn_up.weight,Q8_0,576,1536,none,109043776,940032,gemv_backend_run
27,v_proj,blk.27.attn_v.weight,Q8_0,576,192,none,110808640,117504,gemv_backend_run
28,down_proj,blk.28.ffn_down.weight,Q8_0,1536,576,512+512+512,110928448,940032,gemv_backend_run
28,gate_proj,blk.28.ffn_gate.weight,Q8_0,576,1536,none,111868480,940032,gemv_backend_run
28,k_proj,blk.28.attn_k.weight,Q8_0,576,192,none,113750848,117504,gemv_backend_run
28,o_proj,blk.28.attn_output.weight,Q8_0,576,576,none,113868352,352512,gemv_backend_run
28,q_proj,blk.28.attn_q.weight,Q8_0,576,576,none,114220864,352512,gemv_backend_run
28,up_proj,blk.28.ffn_up.weight,Q8_0,576,1536,none,112808512,940032,gemv_backend_run
28,v_proj,blk.28.attn_v.weight,Q8_0,576,192,none,114573376,117504,gemv_backend_run
29,down_proj,blk.29.ffn_down.weight,Q8_0,1536,576,512+512+512,114693184,940032,gemv_backend_run
29,gate_proj,blk.29.ffn_gate.weight,Q8_0,576,1536,none,115633216,940032,gemv_backend_run
29,k_proj,blk.29.attn_k.weight,Q8_0,576,192,none,117515584,117504,gemv_backend_run
29,o_proj,blk.29.attn_output.weight,Q8_0,576,576,none,117633088,352512,gemv_backend_run
29,q_proj,blk.29.attn_q.weight,Q8_0,576,576,none,117985600,352512,gemv_backend_run
29,up_proj,blk.29.ffn_up.weight,Q8_0,576,1536,none,116573248,940032,gemv_backend_run
29,v_proj,blk.29.attn_v.weight,Q8_0,576,192,none,118338112,117504,gemv_backend_run
tied,lm_head_tied_token_embd,token_embd.weight,Q8_0,576,49152,none,1785664,30081024,gemv_backend_run
