tensor_name,target,in_features,out_features,row_groups,original_rowgroup_packet_bytes,chunk_count,chunk_in_features,chunk_packet_bytes,dma_limit_ok,cpu_accumulation_required
blk.18.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.18.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.18.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.18.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.18.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.18.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.19.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.19.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.19.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.19.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.19.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.19.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.19.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.20.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.20.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.20.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.20.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.20.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.20.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.20.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.21.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.21.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.21.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.21.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.21.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.21.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.21.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.22.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.22.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.22.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.22.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.22.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.22.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.22.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.23.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.23.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.23.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.23.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.23.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.23.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.23.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.24.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.24.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.24.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.24.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.24.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.24.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.24.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.25.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.25.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.25.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.25.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.25.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.25.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.25.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.26.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.26.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.26.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.26.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.26.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.26.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.26.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.27.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.27.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.27.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.27.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.27.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.27.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.27.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.28.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.28.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.28.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.28.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.28.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.28.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.28.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.29.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.29.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.29.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.29.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.29.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.29.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.29.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
token_embd.weight,lm_head,576,49152,3072,10368,1,576,10368,true,false
