row_group,lane,row,fixture_case,identity_expected_i32,board_mixed_i32,board_duplicate_same_lane_i32,board_duplicate_lane0_i32,mixed_vs_cpu,duplicate_same_lane_vs_cpu,mixed_vs_duplicate,duplicate_good_lanes,packet_equivalence,mode1_blockacc,onehot_mode0,simulation_status,fixture_dir
25,13,413,qproj_rg25,3,2147483647,3,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg25
26,11,427,qproj_rg26,14,2147483647,14,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg26
27,15,447,qproj_rg27,0,2147483647,0,0,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg27
28,9,457,qproj_rg28,-12,2147483647,-12,-12,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg28
30,0,480,qproj_rg30,12,2147483647,12,12,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg30
31,6,502,qproj_rg31,2,2147483647,2,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg31
31,14,510,qproj_rg31,-2,2147483647,-2,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg31
32,3,515,qproj_rg32,-16,2147483647,-16,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg32
33,1,529,qproj_rg33,11,2147483647,11,11,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg33
33,12,540,qproj_rg33,-14,-14,-14,-14,1,1,1,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg33
34,8,552,qproj_rg34,4,2147483647,4,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg34
35,7,567,qproj_rg35,-8,2147483647,-8,-8,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg35
