layer,point,len,cpu_min,cpu_max,cpu_mean,cpu_absmax,cpu_checksum,cpu_hash,fpga_min,fpga_max,fpga_mean,fpga_absmax,fpga_checksum,fpga_hash,checksum_abs_diff,mean_abs_diff,absmax_abs_diff,hash_match,large_divergence
2,attention_output,576,-1.14423859,2.05153465,0.0136614914,2.05153465,7.86901907,7f7c5a62a51d85bb,-1.57421875,8388608.0,43690.6655,8388608.0,25165823.4,18c12023dcf19d7f,25165815.53098093,43690.6518385086,8388605.94846535,no,yes
2,o_proj_output,576,-6.02161646,9.47265816,0.0166706706,9.47265816,9.60230626,29a81d6939647ae6,-125.246094,8388608.0,87380.7865,8388608.0,50331333.1,70da5117c7cdd241,50331323.49769374,87380.76982932941,8388598.52734184,no,yes
2,residual_after_attention,576,-87.7371674,259.301483,0.214256811,259.301483,123.411923,2e07a91958b9c857,-1469.14685,8389156.0,466048.013,8389156.0,268443655.0,911f1da09190988d,268443531.588077,466047.79874318896,8388896.698517,no,yes
2,after_post_attention_rmsnorm,576,-0.262245685,1.38625002,0.00413881855,1.38625002,2.38395949,9e47d5501b2cc9ba,-9.04700937e-05,1.35068834,0.0481261666,1.35068834,27.720672,f6f81a3cdc6c24cf,25.33671251,0.04398734805,0.03556168000000004,no,yes
2,gate_proj_output,1536,-1.75277185,12.6044683,-0.22748834,12.6044683,-349.422091,7f46af93e0496cb8,-3.82421875,8388608.0,43690.5811,8388608.0,67108732.6,39bf2c3691a6d17c,67109082.022091,43690.808588340005,8388595.3955317,no,yes
2,up_proj_output,1536,-4.94604063,5.42497301,0.00370089871,5.42497301,5.68458042,894c49ad17cebdbe,-3.12890625,8388608.0,54613.3417,8388608.0,83886092.8,4eee10436731c25b,83886087.11541958,54613.337999101284,8388602.57502699,no,yes
2,silu_swiglu_output,1536,-36.7629128,68.3786697,0.0269818751,68.3786697,41.4441602,c866d9567e75bb38,-7569408.0,11388884.0,8802.26856,11388884.0,13520284.5,5638ecc0f7e0e10d,13520243.0558398,8802.2415781249,11388815.6213303,no,yes
2,down_proj_output,576,-114.094261,548.912415,0.572159406,548.912415,329.563818,89f7217ad04650c0,-346.753906,8388608.0,160203.519,8388608.0,92277226.9,5199eead5edbc0a5,92276897.33618201,160202.946840594,8388059.087585,no,yes
2,residual_after_mlp,576,-150.294342,808.213867,0.786416154,808.213867,452.975705,6abf2dd956ceeee5,-1414.36951,8389214.0,626251.532,8389214.0,360720883.0,e9dc64ca9a8c92f2,360720430.024295,626250.745583846,8388405.786133,no,yes
3,after_input_rmsnorm,576,-2.31040454,4.0591712,0.00293732198,4.0591712,1.69189746,42662666d5c18bb7,-0.000125665989,1.65843141,0.080880519,1.65843141,46.5871789,ec564d62e035e49a,44.89528144,0.07794319702,2.40073979,no,yes
3,q_proj_output,576,-6.48044682,4.52492523,-0.0402908238,6.48044682,-23.2075145,ca62d35e0a2e74d2,-8.40625,8388608.0,116508.368,8388608.0,67108820.0,ac10d61d28ebd54e,67108843.2075145,116508.4082908238,8388601.51955318,no,yes
3,k_proj_output,192,-5.58782291,6.1512804,-0.0676091219,6.1512804,-12.9809514,83fa7e3c46ff1777,-5.8515625,8388608.0,87381.3137,8388608.0,16777212.2,b51cc394f52e7b3a,16777225.180951398,87381.3813091219,8388601.8487196,no,yes
3,v_proj_output,192,-0.496400446,0.199272633,-0.0113129661,0.496400446,-2.17208949,0173a65d82d44a73,-2.96875,8388608.0,131071.989,8388608.0,25165822.0,5a5ab50f3fbf17d1,25165824.17208949,131072.0003129661,8388607.503599554,no,yes
3,attention_output,576,-0.496400446,0.199272633,-0.0113129661,0.496400446,-6.51626847,99fb69e2b29b18fb,-2.96875,8388608.0,131071.989,8388608.0,75497465.9,fbf3de5ae7c50e91,75497472.41626848,131072.0003129661,8388607.503599554,no,yes
3,o_proj_output,576,-2.19913554,1.38404012,-0.0141497823,2.19913554,-8.15027461,df6a2b2a20a61daf,-125.574219,8388608.0,14562.8883,8388608.0,8388223.68,d65dd6d9ea5b8722,8388231.83027461,14562.902449782301,8388605.80086446,no,yes
3,residual_after_attention,576,-148.910309,806.014709,0.772266323,806.014709,444.825402,a9558cdb87bebff6,-1452.07263,8389228.0,640814.423,8389228.0,369109108.0,e392ad107a6d8f51,369108663.174598,640813.650733677,8388421.985291,no,yes
